"Step","Grouped runs - mean_return","Grouped runs - mean_return__MIN","Grouped runs - mean_return__MAX"
"248","671.8857142857142","524.2","788.3"
"249","671.7857142857143","561","788.4"
"250","656.9","485.3","782.9"
"251","667.2142857142857","582.7","773.5"
"252","651.1428571428571","421","784.2"
"253","672.3142857142857","551.1","790.1"
"254","667.3571428571429","530.4","770.5"
"255","668.9857142857143","532.7","787.4"
"256","662.9142857142858","496.8","782.9"
"257","672.1","497.5","788.9"
"258","655.2428571428571","463.3","788.2"
"259","668.3714285714285","511.2","790.8"
"260","658.4285714285714","501.8","788.9"
"261","666.0142857142857","541.7","782.9"
"262","675.3999999999999","564.3","788.3"
"263","660.6142857142858","530.4","790.8"
"264","676.6000000000001","565.5","787.6"
"265","653.4571428571428","523.1","789.5"
"266","670.6","578.4","787.6"
"267","650.5714285714286","479.6","786.2"
"268","670.8571428571429","563.3","788.2"
"269","671.3142857142857","521.4","788.3"
"270","677.9428571428572","550.8","789"
"271","671.4428571428572","557.9","788.3"
"272","674.3","523.2","787.6"
"273","662.1714285714287","514.9","788.9"
"274","668.2142857142857","549.3","786.9"
"275","670.6142857142858","520.6","788.3"
"276","667.8285714285714","492.5","788.9"
"277","649.2714285714285","452.4","788.3"
"278","675.1428571428571","548.1","789"
"279","669.1142857142858","499.8","789"
"280","682.3142857142858","552.7","789"
"281","657.3857142857142","522","789"
"282","667.1428571428571","468","789.6"
"283","665.6857142857143","525.4","788.3"
"284","650.5857142857143","445.3","787.8"
"285","657.3285714285714","456.8","788.3"
"286","657.8142857142857","516","789"
"287","672.342857142857","538.2","789"
"288","666.2142857142856","544.8","789"
"289","673.4285714285714","541","789"
"290","673.8285714285714","523","789"
"291","672.5857142857143","550.2","789"
"292","668.8999999999999","519.6","789"
"293","668.2857142857143","551","789"
"294","669.3999999999999","481.7","789"
"295","678.6714285714287","539.7","789"
"296","668.8857142857144","510.3","789"
"297","660.8285714285714","491.8","788.3"
"298","680.1","524.2","789"
"299","659.8142857142857","530.4","789"
"300","671.1285714285714","523.9","789"
"301","659.3000000000001","497.8","789"
"302","678.5285714285714","542.4","789"
"303","666.5142857142857","507.9","789"
"304","674.3714285714286","538.6","789"
"305","679.7142857142857","553.9","795"
"306","665.7285714285715","500.9","795"
"307","670.6714285714286","539.4","795"
"308","672.4428571428571","501.9","795"
"309","661.1999999999999","450","795"
"310","670.0857142857143","556.5","795"
"311","669.8142857142857","487.8","795"
"312","670.5285714285714","459.7","794.4"
"313","678.1285714285714","512.1","795"
"314","671.2714285714285","537.2","795"
"315","656.9571428571429","492.9","795"
"316","674.357142857143","515.7","795"
"317","691.4285714285714","577.6","795"
"318","670.9571428571429","511.3","795"
"319","692.7","596.9","795"
"320","690.3428571428573","497.5","795"
"321","673.1428571428571","485.3","795"
"322","690.3","547.2","795"
"323","689.1000000000001","481.3","794.4"
"324","696.1142857142858","537.4","795"
"325","679.4428571428572","520.4","795"
"326","673.4571428571428","433.7","795"
"327","683.7","480.3","795"
"328","702.842857142857","551.5","795"
"329","701.5142857142856","546.1","795"
"330","695.0428571428572","542.5","795"
"331","701.2428571428571","526.8","794.3"
"332","689.3","488.7","795"
"333","702.9714285714286","554.7","795"
"334","701.5714285714286","530.9","795"
"335","687.8571428571429","507.3","795"
"336","694.1857142857143","504.3","795"
"337","689.2285714285714","464.6","795"
"338","694.5142857142856","532","795"
"339","689.1142857142858","523.1","795"
"340","694.0714285714286","567.6","795"
"341","699.0428571428572","549.4","795"
"342","704.9","599.3","795"
"343","698.6857142857143","582.4","795"
"344","698.9","563.5","795"
"345","684.8857142857142","489.2","795"
"346","669.7714285714286","429","795"
"347","704.4571428571428","538.1","795"
"348","698.8142857142858","578.7","795"
"349","693.1999999999999","482.5","795"
"350","693.842857142857","508.1","795"
"351","693.6714285714287","493.1","795"
"352","706.2857142857141","548.6","795"
"353","709.9428571428572","559.7","795"
"354","701.5857142857143","529.5","795"
"355","698.5142857142857","512","795"
"356","697.4285714285714","507.6","795"
"357","711.0428571428572","556.4","795"
"358","702.4571428571429","491.3","795"
"359","703.7857142857143","504.1","795"
"360","710.1","522.1","795"
"361","708.2857142857143","547.7","795"
"362","712.0428571428571","528.5","795"
"363","713.7714285714285","544.3","795"
"364","738.1833333333333","659.9","795"
"365","740.9333333333334","659.2","795"
"366","742.0833333333334","658.3","795"
"367","741.1500000000001","655.1","795"
"368","733.5833333333334","609.2","795"
"369","742.9166666666666","666.1","795"
"370","738.4666666666667","636.6","795"
"371","732.2833333333333","654","795"
"372","736.4666666666667","629.1","795"
"373","742.2333333333332","653.4","795"
"374","744.5999999999999","673.3","795"
"375","741.3666666666667","650.9","795"
"376","738.5500000000001","643.4","795"
"377","741.2666666666665","652.2","795"
"378","738.4833333333335","638.1","795"
"379","736.5499999999998","634.4","795"
"380","743.0166666666668","658.1","795"
"381","750.5333333333334","698.3","795"
"382","731","615.7","795"
"383","746.4833333333332","691.4","795"
"384","741.15","649.4","795"
"385","750.9666666666667","697","795"
"386","761.3599999999999","701.2","795"
"387","759.76","695.5","795"
"388","758.86","698.7","795"
