"Step","Grouped runs - mean_return","Grouped runs - mean_return__MIN","Grouped runs - mean_return__MAX"
"300","505.94999999999993","468.4","517"
"301","507.53999999999996","483.2","517"
"302","507.1","480.6","517"
"303","504.23","474.3","517"
"304","508.93999999999994","488.9","517"
"305","509.05","488.9","517"
"306","509.05","488","517"
"307","508","477.4","517"
"308","508.12999999999994","476.2","517"
"309","508.65","475.6","517"
"310","502.0299999999999","410.5","517"
"311","506.09000000000003","448","517"
"312","506.6499999999999","465.4","517"
"313","509.45","485.5","517"
"314","510.1899999999999","487.4","517"
"315","510.0799999999999","487.2","517"
"316","509.84","484.7","517"
"317","509.37","485.8","517"
"318","509.4599999999999","488.6","516.9"
"319","505.43","470.9","517"
"320","509.75","487.4","517"
"321","509.62000000000006","488","517"
"322","509.41999999999996","484.8","517"
"323","504.91999999999996","475.2","517"
"324","508.86","486.2","517"
"325","509.60999999999996","487.4","517"
"326","503.6","453.5","517"
"327","509.26000000000005","487.4","517"
"328","509.06000000000006","488.2","517"
"329","504.53000000000003","465.3","517"
"330","509.86","490","517"
"331","505.95","483.3","517"
"332","511.3","489.6","517"
"333","510.65999999999997","489.2","517"
"334","511.21999999999997","489.2","517"
"335","510.21000000000004","487.6","517"
"336","511.09","487.4","517"
"337","511.21999999999997","488.9","517"
"338","510.7999999999999","482.4","517"
"339","511.4","488.7","517"
"340","511.3","487.4","517"
"341","510.28999999999996","478.2","517"
"342","510.03000000000003","477.1","517"
"343","510.78000000000003","484.3","517"
"344","510.74000000000007","483.6","517"
"345","502.84","443.2","517"
"346","510.66","481.4","517"
"347","511.07","488","517"
"348","510.21000000000004","478.6","517"
"349","511.4","487.8","517"
"350","510.52","487.2","517"
"351","511.13","488","517"
"352","511.1500000000001","485.6","517"
"353","511.16999999999996","488.5","517"
"354","510.9","483.1","517"
"355","511.31000000000006","488.6","517"
"356","510.63","480.3","517"
"357","510.86","488.1","517"
"358","504.77","452.1","517"
"359","511.21999999999997","489.4","517"
"360","511.44000000000005","489.2","517"
"361","511.61","490.6","517"
"362","511.56000000000006","489.6","517"
"363","511.59","489.5","517"
"364","511.16999999999996","484.8","517"
"365","511.38","488.6","517"
"366","511.58000000000004","490","517"
"367","511.45","490.2","517"
"368","511.52","489.7","517"
"369","511.46000000000004","489.8","517"
"370","511.58000000000004","489.6","517"
"371","507.3999999999999","471.7","517"
"372","511.7299999999999","490.4","517"
"373","511.39","489.4","517"
"374","511.08000000000004","486.2","517"
"375","511.77","490.2","517"
"376","511.59","488.7","517"
"377","511.6","488.9","517"
"378","511.53000000000003","488.6","517"
"379","511.41999999999996","489.7","517"
"380","511.53000000000003","488.5","517"
"381","511.41999999999996","487.9","517"
"382","511.57000000000005","489.6","517"
"383","511.6","488.8","517"
"384","511.53000000000003","488.6","517"
"385","511.27","485.5","517"
"386","505.88","465.3","517"
"387","511.62000000000006","489.5","517"
"388","511.78999999999996","489.4","517"
"389","511.38","489.3","517"
"390","511.82","489.8","517"
"391","511.7099999999999","489.2","517"
"392","507.78000000000003","482.6","517"
"393","503.9599999999999","465.3","517"
"394","511.58000000000004","489.1","517"
"395","511.5200000000001","487","517"
"396","511.74000000000007","489.8","517"
"397","511.21000000000004","489","517"
"398","511.6","489.2","517"
"399","511.75","489.9","517"
